Bezirksnummer,Name,Wahlbeteiligung_kw2019,Wahlbeteiligung_euro2019,Wahlbeteiligung_lwerst2019,Wahlbeteiligung_bw2021,Wahlbeteiligung_kw2024,Wahlbeteiligung_euro2024
3104.0,Brandenburger Vorstadt - Auf dem Kiewitt,47.62,48.29,52.35,49.88,50.5,51.47
3105.0,Brandenburger Vorstadt - Park Sanssouci,55.3,55.34,57.81,47.96,55.46,55.47
3107.0,Brandenburger Vorstadt - Schillerplatz,46.97,47.34,54.34,52.34,49.68,50.62
3202.0,Potsdam West - Haeckelstr.,47.66,47.86,50.13,51.28,48.52,49.16
3205.0,Potsdam West - Im Bogen/Am Wildpark,51.38,53.01,58.72,53.47,55.86,57.06
4101.0,Innenstadt - Schopenhauerstr./Jägerallee,49.72,50.62,55.45,49.66,49.33,50.3
4109.0,Innenstadt - Bassinplatz,40.34,40.82,46.84,43.96,46.03,47.57
5204.0,Babelsberg Nord - Plantagenplatz,58.66,58.35,60.36,53.75,56.33,56.53
5207.0,Babelsberg Nord - Rathaus/Humboldtbrücke,49.3,49.32,51.44,47.18,51.17,52.11
5304.0,Babelsberg Süd - Paul-Neumann-Str.,50.96,50.56,52.08,47.64,48.06,48.55
6201.0,Teltower Vorstadt - Kolonie Daheim,50.82,50.92,51.95,47.19,52.46,52.63
6203.0,Teltower Vorstadt - Siedlung Eigenheim,56.4,56.59,58.47,51.56,55.27,55.52
6303.0,Schlaatz - Erlenhof,31.68,34.35,37.03,43.25,38.85,43.02
6304.0,Schlaatz - H.-Muthesius-Str./Binsenhof,31.75,33.09,35.75,38.52,34.38,36.0
6505.0,Waldstadt II - Am Springbruch,36.35,36.95,41.58,44.52,42.25,43.27
7106.0,Stern - Johannes-Kepler-Platz/Chopinstr.,37.87,39.56,42.23,43.48,42.72,44.12
7108.0,Stern - Leibnizring,30.96,31.65,37.28,45.69,40.61,41.82
7111.0,Stern - Jagdhausstr./Eulenkamp,45.56,45.91,48.21,46.26,46.65,47.3
7113.0,Stern - Kohlhasenbrücker Str.,43.14,43.76,52.08,50.77,51.18,52.21
7202.0,Drewitz - Sterncenter/Erich-Pommer-Str.,37.9,38.57,41.48,35.03,40.43,42.58
7301.0,Kirchsteigfeld - Eleonore-Prochaska-Str.,42.35,42.68,48.07,49.16,44.67,46.2
7302.0,Kirchsteigfeld - Priesterweg,37.76,39.17,45.81,51.12,48.98,50.99
8402.0,Fahrland - Kartzower Dorfstr.,40.38,42.97,47.33,44.37,47.41,51.35
8602.0,Groß Glienicke - Bullenwinkel/Braumannwe,50.41,50.62,53.09,48.18,55.84,56.17
8603.0,Groß Glienicke - Bergstr./Seepromenade,52.92,53.58,56.07,54.16,51.93,52.07
2202.0,Jägervorstadt - Am Weinberg/Ulanenweg,51.41,51.76,53.9,45.08,50.0,50.84
2301.0,Berliner Vorstadt - Ludwig-Richter-Str.,48.48,48.18,47.73,40.49,40.28,41.13
3101.0,Brandenburger Vorstadt - Luisenplatz,42.06,42.36,47.26,42.16,42.04,43.28
3106.0,Brandenburger Vorstadt - Tschäpe-Platz,59.33,60.14,59.39,47.18,55.64,56.74
3108.0,Brandenburger Vorstadt - Hans-Sachs-Str.,60.21,61.21,62.09,52.78,56.44,56.63
3204.0,Potsdam West - Knobelsdorffstr.,42.69,44.15,49.92,49.36,50.87,51.75
4104.0,Innenstadt - Wall am Kiez/Luisenplatz,48.28,49.07,51.68,44.63,46.76,47.05
4106.0,Innenstadt - Alter Markt/Wall am Kiez,37.68,38.36,42.43,39.62,47.6,48.62
4108.0,Innenstadt - Brandenburger Str. Nord,52.8,54.85,55.35,48.88,50.51,51.98
5203.0,Babelsberg Nord - Fontanestr.,56.33,56.01,54.98,48.85,50.08,51.2
5205.0,Babelsberg Nord - Weberplatz/Alt Nowawes,57.19,57.5,57.53,50.13,53.83,54.35
5303.0,Babelsberg Süd - Benzstr./Pestalozzistr.,52.54,52.44,56.74,52.06,55.43,56.32
5305.0,Babelsberg Süd - Dianastr./Sandscholle,46.58,46.17,47.37,46.31,48.32,48.5
5306.0,Babelsberg Süd - Marlene-Dietrich-Allee,54.21,56.66,52.51,47.5,49.63,51.96
6202.0,Teltower Vorstadt - Kunersdorfer Str.,50.96,50.84,52.7,44.42,53.95,54.64
6503.0,Waldstadt II - Kiefernring/Sonnentaustr.,37.17,37.91,39.16,40.56,41.63,42.84
6507.0,Waldstadt II - Moosglöckchenweg,43.42,44.94,47.14,51.25,47.12,48.97
7101.0,Stern - Musikerviertel,47.81,48.11,50.3,45.01,49.05,49.84
7102.0,Stern - Lilienthalstr.,40.14,41.0,44.17,45.47,45.25,46.83
7103.0,Stern - Fichtenallee/Im Schäferfeld,42.64,43.03,48.09,48.11,48.94,50.23
7205.0,Drewitz - Willy-A.-Kleinau-Weg,29.55,30.44,35.01,44.77,39.05,42.07
7303.0,Kirchsteigfeld - Zum Teich/Schinkelstr.,51.58,52.0,57.18,55.96,59.26,59.98
7304.0,Kirchsteigfeld - Pierre-de-Gayette-Str.,43.14,43.15,47.69,53.58,50.24,51.13
8101.0,Uetz-Paaren,51.6,52.92,50.28,51.57,54.99,58.33
8401.0,Fahrland - V.-Stechow-Str./Rotkehlchenwe,43.45,45.33,52.04,45.59,50.63,52.13
