,Schlaatz - H.-Muthesius-Str./Binsenhof,Stern - Otto-Hahn-Ring,Schlaatz - Inselhof/Bisamkiez,Drewitz - Willy-A.-Kleinau-Weg,Stern - Leibnizring,Schlaatz - Erlenhof,Drewitz - Paul-Wegener-Str./Priesterweg,Drewitz - Sterncenter/Erich-Pommer-Str.,Waldstadt II - Kiefernring/Sonnentaustr.,Schlaatz - Sperberhorst,Waldstadt II - Ginsterweg,Waldstadt II - Am Springbruch,Fahrland - Kietzer Str./Pastor-Moritz-St,Stern - Johannes-Kepler-Platz/Chopinstr.,Bornstedt - Reiherweg/David-Gilly-Str.,Innenstadt - Alter Markt/Wall am Kiez,Brandenburger Vorstadt - Luisenplatz,Eiche - Kaiser-Friedrich-Str. Süd,Waldstadt II - Zum Kahleberg,Stern - Lilienthalstr.,Innenstadt - Hans-Thoma-Str./Türckstr.,Waldstadt I - Käthe-Kollwitz-Str.,Waldstadt I -Am Stadtrand/Industriegelän,Innenstadt - Bassinplatz,Berliner Vorstadt - Ludwig-Richter-Str.,"Werder (Havel), Gymnasium I",Waldstadt I - Bertolt-Brecht-Str.,Kirchsteigfeld - Eleonore-Prochaska-Str.,Kirchsteigfeld - Priesterweg,Fahrland - Kartzower Dorfstr.,Stern - Parforceheide,Innenstadt - Kurfürstenstr.,Bornstedt - Stechlinweg,Potsdam West - An der Pirschheide,Innenstadt - Burgstr.,Groß Glienicke - Glienicker Dorfstr.,Waldstadt I - Bernhard-Kellermann-Str.,Stern - Jagdhausstr./Eulenkamp,"Templiner Vorstadt, Forst Potsdam Süd",Stern - Fichtenallee/Im Schäferfeld,Waldstadt II - Moosglöckchenweg,Babelsberg Süd - Dianastr./Sandscholle,Nauener Vorstadt - Neuer Garten,Bornstedt - A.-Wolff-Platz/E.-Arendt-Str,Nauener Vorstadt - Bertiniweg/Glumestr.,Bornstedt - Jakob-von-Gundling-Str.,Innenstadt - Wall am Kiez/Luisenplatz,Potsdam West - Knobelsdorffstr.,Kirchsteigfeld - Pierre-de-Gayette-Str.,Fahrland - V.-Stechow-Str./Rotkehlchenwe,Stern - Musikerviertel,Potsdam West - Geschwister-Scholl-Str.,Stern - Kohlhasenbrücker Str.,Potsdam West - Haeckelstr.,Bornim - Max-Eyth-Allee/Lerchensteig,Jägervorstadt - Am Ruinenberg,Babelsberg Süd - Paul-Neumann-Str.,Brandenburger Vorstadt - Clara-Zetkin-S.,Brandenburger Vorstadt - Auf dem Kiewitt,Babelsberg Nord - Rathaus/Humboldtbrücke,Drewitz - Alt Drewitz/Am Silbergraben,Brandenburger Vorstadt - Schillerplatz,Stern - In der Aue/Gluckstr.,Jägervorstadt - Am Weinberg/Ulanenweg,Neu Fahrland,"Nedlitz, Bornstedt - Viereckremise",Bornstedt - Am Krongut/Katharinenholzstr,Babelsberg Süd - An den Windmühlen,Innenstadt - Schopenhauerstr./Jägerallee,Eiche - Altes Rad Ost,Teltower Vorstadt - Kolonie Daheim,Teltower Vorstadt - Kunersdorfer Str.,Eiche - Altes Rad West/Lindstedter Str.,Innenstadt - Yorckstr.,Brandenburger Vorstadt - Feuerbachstr.,Berliner Vorstadt - Schiffbauergasse,"Werder (Havel), Gymnasium II",Golm - Ehrenpfortenbergstr.,Babelsberg Nord - Klein Glienicke,Bornstedt - Kirschallee/Thaerstr.,Babelsberg Nord - Karl-Marx-Str./Donarst,Golm - Geiselbergstr./Am Mühlenberg,Babelsberg Süd - Marlene-Dietrich-Allee,"Werder (Havel), Traumfänger",Groß Glienicke - Bullenwinkel/Braumannwe,Innenstadt - Brandenburger Str. Nord,Babelsberg Nord - Alt Nowawes West,Babelsberg Süd - H-v-Kleist-Str./Wattstr,Babelsberg Nord - Fontanestr.,Babelsberg Süd - Neuendorfer Anger,Bornstedt - Fliederweg,Uetz-Paaren,Groß Glienicke - Bergstr./Seepromenade,Nauener Vorstadt - Rote Kaserne/SAP,Grube,Nauener Vorstadt - Russische Kolonie,Babelsberg Süd - Benzstr./Pestalozzistr.,Babelsberg Süd - Walter-Klausch-Str.,Bornim - Ortslage/Hügelweg,Brandenburger Vorstadt - Park Sanssouci,Potsdam West - Im Bogen/Am Wildpark,Babelsberg Nord - Weberplatz/Alt Nowawes,Teltower Vorstadt - Siedlung Eigenheim,Kirchsteigfeld - Zum Teich/Schinkelstr.,Brandenburger Vorstadt - Tschäpe-Platz,Marquardt,Babelsberg Süd - Schulstr./Fultonstr.,Babelsberg Nord - Plantagenplatz,Brandenburger Vorstadt - Hans-Sachs-Str.,Babelsberg Nord - Goetheplatz,Satzkorn,Bornstedt - Hermann-Mattern-Promenade
kw2019_afd,7.08,4.55,6.55,6.24,3.85,5.67,5.56,4.41,7.03,6.01,7.08,7.59,6.48,4.19,4.97,4.09,3.25,4.16,5.88,7.11,1.24,4.47,7.56,2.87,4.31,4.16,5.86,5.13,6.36,6.74,6.42,2.89,2.86,2.45,4.91,4.47,5.72,6.62,3.75,6.25,8.58,5.23,3.14,2.73,4.06,4.53,2.82,3.96,5.84,6.63,5.44,2.47,5.05,4.15,5.64,4.25,5.64,1.58,4.48,2.78,7.94,5.6,5.83,3.81,6.9,4.47,3.49,4.53,2.5,4.94,3.65,5.6,3.89,3.74,3.09,3.28,3.89,4.09,2.45,4.54,2.78,5.42,2.78,4.94,4.29,3.33,3.27,1.96,2.92,3.27,5.27,10.37,3.92,3.1,7.74,1.99,3.67,2.37,4.39,2.48,3.65,3.56,8.13,5.89,1.48,7.21,2.35,4.2,3.12,3.37,7.46,3.13
euro2019_afd,7.41,5.86,7.21,7.71,4.8,6.38,5.92,4.55,7.42,5.87,7.47,7.3,7.22,5.17,5.79,5.0,3.99,7.11,6.49,8.25,2.29,5.24,8.72,3.09,5.56,7.11,6.3,5.69,6.26,8.79,6.53,3.52,3.4,3.13,5.85,5.42,5.89,7.21,4.11,6.85,9.5,5.86,3.34,3.6,5.3,5.08,3.7,4.67,7.01,7.13,6.26,2.66,5.54,6.08,7.09,4.97,6.02,2.54,4.86,3.67,8.31,6.15,6.73,4.68,8.19,5.29,3.82,4.99,2.75,5.72,3.77,5.71,5.18,4.24,3.8,4.02,5.18,4.83,4.05,5.3,3.9,6.26,4.08,5.72,5.83,3.84,3.83,2.93,4.04,3.96,6.24,11.42,5.11,3.87,10.24,3.28,4.44,3.32,6.88,4.02,5.43,4.75,8.78,6.73,1.76,9.53,2.95,5.06,3.8,4.62,9.73,4.12
lw2019_afd,8.08,6.48,8.4,9.02,8.52,8.07,9.3,7.04,10.25,9.83,10.03,10.8,8.52,8.08,6.94,5.62,6.58,8.06,9.43,10.08,2.12,7.86,10.77,4.4,5.27,8.93,7.95,8.41,10.94,10.57,6.6,4.2,4.69,4.14,8.27,7.46,10.14,8.79,5.35,9.86,11.84,7.62,4.11,4.31,4.93,4.97,5.28,6.43,7.87,10.14,7.09,4.03,6.3,7.14,9.46,6.01,6.92,2.88,8.67,4.06,11.1,8.35,8.25,5.42,9.68,6.85,6.0,7.4,3.64,7.54,4.38,5.76,7.48,4.65,4.08,4.25,9.8,8.02,3.54,7.31,6.03,8.96,3.37,9.12,6.82,4.07,5.25,3.59,4.14,5.04,7.95,11.73,5.52,3.09,10.43,3.92,6.65,4.69,7.86,3.84,7.07,4.56,7.65,8.96,2.11,11.58,4.2,5.94,4.49,5.26,11.18,4.67
bw2021_afd,7.08,7.94,8.9,10.32,8.49,8.8,10.09,6.53,7.64,7.56,9.73,8.74,7.69,7.75,4.31,4.24,3.29,4.11,7.39,7.14,1.54,6.9,8.57,4.47,3.35,4.11,6.44,7.52,9.49,7.35,6.24,3.12,2.79,3.02,5.95,5.98,6.4,7.18,3.78,7.21,10.31,6.67,2.33,2.64,2.94,3.76,2.4,4.78,6.68,7.39,6.21,3.57,5.4,5.75,8.0,4.97,4.14,1.38,5.14,2.9,7.56,6.05,7.15,3.8,5.08,3.42,4.43,6.12,3.03,3.22,4.02,4.74,5.71,3.71,2.74,3.25,5.71,5.75,2.88,4.41,3.57,5.96,2.63,3.22,4.06,3.29,3.67,3.13,3.44,4.99,5.28,12.54,4.16,2.96,6.98,2.74,4.83,3.7,5.91,3.13,4.04,3.11,6.07,8.61,1.21,7.51,2.73,4.62,3.24,3.14,9.24,3.34
kw2024_afd,6.9,8.97,11.94,11.48,11.22,10.65,11.54,8.03,12.16,10.28,13.26,12.33,12.93,8.77,5.78,6.0,4.37,5.97,9.44,11.65,2.92,10.17,10.99,5.32,5.44,5.97,10.9,9.63,12.89,12.43,8.84,4.58,3.98,4.67,7.49,7.47,10.94,9.6,6.99,9.56,12.84,7.5,3.87,6.68,4.61,5.1,6.07,8.52,11.09,11.56,8.59,3.68,5.8,8.71,11.11,6.24,5.72,2.37,6.38,4.8,13.05,7.6,10.61,4.77,9.51,5.27,5.94,8.47,3.63,6.92,7.98,9.32,7.42,6.38,4.23,5.26,7.42,9.42,3.69,8.4,6.09,8.54,2.62,6.92,5.46,5.12,5.38,4.24,4.63,7.01,7.73,19.5,6.73,4.74,11.73,4.38,5.98,5.43,7.67,3.83,6.57,4.65,9.91,9.92,3.23,12.95,4.8,4.72,4.32,5.3,13.23,4.32
euro2024_afd,7.45,10.28,11.43,12.25,11.95,11.82,12.13,8.63,11.93,10.31,14.03,12.24,12.99,9.75,6.4,5.62,4.57,6.63,10.07,12.29,3.21,9.78,11.01,5.95,6.07,6.63,12.19,10.47,12.72,12.57,10.39,5.09,4.39,4.44,7.86,7.17,11.09,9.6,7.3,9.83,13.13,7.27,3.9,7.44,4.34,4.82,6.2,8.69,10.93,11.58,9.13,3.99,6.26,9.0,12.3,6.3,5.22,2.43,7.14,4.95,13.06,8.57,11.01,4.99,10.94,5.87,6.52,8.52,3.96,7.25,7.66,9.49,8.24,6.9,4.96,5.3,8.24,9.67,3.72,8.96,6.47,9.77,2.67,7.25,6.35,5.63,6.28,4.78,5.36,7.53,8.31,22.13,6.8,5.26,13.45,4.11,5.94,5.54,8.19,4.59,6.67,4.84,9.34,10.61,3.18,14.24,5.16,4.97,4.36,5.6,14.99,4.92
