Nr;Name;Wahlb. ohne Sperrv.;Wahlb. mit Sperrv.;Wahlb. insges.;Wähler;dav. mit Wahlschein;Ungült. Stimmen;Gültige Stimmen;Sozialdemokratische Partei Deutschlands;Christlich Demokratische Union Deutschlands;DIE LINKE;Alternative für Deutschland;BÜNDNIS 90/DIE GRÜNEN;Nationaldemokratische Partei Deutschlands;Freie Demokratische Partei;Familien-Partei Deutschlands;PARTEI MENSCH UMWELT TIERSCHUTZ;Piratenpartei Deutschland;FREIE WÄHLER;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;Ab jetzt...Demokratie durch Volksabstimmung Politik für die;Deutsche Kommunistische Partei;Ökologisch-Demokratische Partei;Marxistisch-Leninistische Partei Deutschlands;Sozialistische Gleichheitspartei, Vierte Internationale;Bayernpartei;Aktion Partei für Tierschutz – DAS ORIGINAL;Allianz für Menschenrechte, Tier- und Naturschutz;Bündnis C - Christen für Deutschland;Bündnis für Innovation & Gerechtigkeit;Bündnis Grundeinkommen Die Grundeinkommenspartei;Demokratie DIREKT!;Demokratie in Europa - DiEM25;DER DRITTE WEG;Die Grauen – Für alle Generationen;DIE RECHTE – Partei für Volksabstimmung, Souveränität u;Die Violetten;Europäische Partei LIEBE;Feministische Partei DIE FRAUEN;Graue Panther;LKR Bernd Lucke und die Liberal-Konservativen Reformer;Menschliche Welt für das Wohl und Glücklichsein aller;Neue Liberale – Die Sozialliberalen;Ökologische Linke;Partei der Humanisten;PARTEI FÜR DIE TIERE DEUTSCHLAND;Partei für Gesundheitsforschung;Volt Deutschland
5304;Babelsberg Süd - Paul-Neumann-Str.;1057;272;1329;672;2;6;666;140;78;92;80;161;2;28;3;13;1;4;12;0;2;4;0;0;1;4;2;0;0;0;0;8;0;2;0;2;2;4;2;0;0;1;3;2;0;3;10
5306;Babelsberg Süd - Marlene-Dietrich-Allee;837;266;1103;625;6;0;625;75;57;51;45;234;1;39;4;5;5;4;49;1;0;4;1;0;0;5;0;1;2;0;0;15;0;0;0;0;0;0;1;0;0;1;2;6;1;0;16
5307;Babelsberg Süd - An den Windmühlen;873;149;1022;510;1;1;509;74;47;78;51;123;1;18;5;18;5;4;39;1;1;3;1;0;0;0;3;0;0;1;0;3;0;2;1;2;2;3;2;0;0;2;4;0;3;3;9
6101;Templiner Vorstadt, Forst Potsdam Süd;1025;241;1266;589;0;8;581;122;103;65;52;140;2;30;4;6;6;2;24;0;0;3;1;0;0;4;0;0;0;0;4;0;0;1;0;0;1;2;2;0;1;0;0;1;0;0;5
6201;Teltower Vorstadt - Kolonie Daheim;978;269;1247;635;1;9;626;108;54;94;47;183;3;21;3;10;2;5;52;1;1;8;1;2;0;0;1;1;0;3;1;3;0;3;0;0;1;1;0;1;1;2;5;1;2;2;3
6203;Teltower Vorstadt - Siedlung Eigenheim;973;234;1207;683;0;6;677;135;85;85;106;129;1;25;6;15;7;6;24;1;6;6;0;0;0;3;0;0;0;0;0;2;1;1;0;0;1;1;6;1;1;1;6;1;1;3;11
6302;Schlaatz - Milanhorst;749;64;813;271;0;5;266;45;23;47;52;31;2;11;10;7;3;4;7;1;1;3;0;0;1;3;1;1;0;1;0;0;1;0;2;0;0;0;0;0;2;0;2;0;1;0;4
6304;Schlaatz - H.-Muthesius-Str./Binsenhof;753;84;837;277;0;4;273;43;27;56;62;25;2;7;5;7;4;3;9;0;1;2;1;1;0;0;2;0;0;1;0;1;0;2;0;0;1;1;0;0;0;0;3;1;1;0;5
6306;Schlaatz - Wiesenhof/Bisamkiez;831;67;898;276;1;4;272;35;9;60;53;44;3;7;4;8;3;3;17;0;1;1;0;0;0;3;1;0;0;1;0;2;3;3;0;0;1;2;0;0;0;0;1;1;0;1;5
6402;Waldstadt I -Am Stadtrand/Industriegelän;830;133;963;408;1;3;405;90;32;75;84;52;3;10;9;10;4;3;12;1;1;1;0;0;0;1;1;0;0;0;1;3;0;2;0;0;0;0;2;0;0;0;0;1;0;2;5
6403;Waldstadt I - Bernhard-Kellermann-Str.;901;185;1086;462;0;11;451;125;60;74;64;51;2;12;8;12;4;5;14;1;0;5;0;0;1;1;0;0;0;0;0;0;0;4;0;0;1;1;2;0;1;0;0;0;1;1;1
6502;Waldstadt II - Ginsterweg;1006;145;1151;401;1;8;393;72;32;71;86;47;3;10;9;15;3;7;19;1;1;0;0;0;1;2;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;1;0;1;1;3;3
