Gemeinde;Gemeindename;Wahlkreisnummer;Gebietsnummer;Gebietsart;Gebietsname;Bezirksnummer;Ausgezaehlt abweichend Gebiet;Ausgezaehlt abweichend AGS;Ausbleibend;Wahlberechtigte gesamt (A);Wahlberechtigte ohne Wahlschein (A1);Wahlberechtigte mit Wahlschein (A2);Wahlberechtigte nicht im WVZ (A3);Waehler gesamt (B);Waehler ohne Wahlschein;Waehler mit Wahlschein;Urnenwaehler mit Wahlschein in Urnenwahllokal;Briefwaehler mit Wahlschein in Urnenwahllokal;Stimmen ungueltige (C);Stimmen gueltige (D);D1;D1_1;D1_2;D1_3;D1_4;D1_5;D1_6;D1_7;D1_8;D1_9;D1_10;D1_11;D1_12;D1_13;D1_14;D2;D2_1;D2_2;D2_3;D2_4;D2_5;D2_6;D2_7;D2_8;D2_9;D2_10;D2_11;D2_12;D2_13;D2_14;D3;D3_1;D3_2;D3_3;D3_4;D3_5;D3_6;D3_7;D3_8;D3_9;D3_10;D3_11;D3_12;D3_13;D3_14;D4;D4_1;D4_2;D4_3;D4_4;D4_5;D4_6;D4_7;D4_8;D4_9;D4_10;D4_11;D4_12;D4_13;D4_14;D5;D5_1;D5_2;D5_3;D5_4;D5_5;D5_6;D5_7;D5_8;D5_9;D5_10;D5_11;D5_12;D5_13;D5_14;D6;D6_1;D6_2;D6_3;D6_4;D7;D7_1;D7_2;D7_3;D7_4;D7_5;D7_6;D7_7;D7_8;D7_9;D7_10;D7_11;D7_12;D7_13;D7_14;D8;D8_1;D8_2;D9;D9_1;D9_2;D9_3;D9_4;D9_5;D9_6;D9_7;D9_8;D10;D10_1;D10_2;D10_3;D10_4;D10_5;D10_6;D10_7;D10_8;D11;D11_1;D11_2;D11_3;D11_4;D11_5;D12;D12_1;D12_2;D13;D13_1;Column 149
54;Potsdam, Stadt;5401;1205400000004105;STIMMBEZIRK;Historische Innenstadt 05;4105;;;N;1248;928;320;0;641;640;1;1;0;14;1856;295;128;49;14;15;7;9;20;13;6;0;5;0;7;22;368;98;46;37;23;26;9;16;15;16;27;1;29;17;8;193;56;16;14;11;11;15;11;10;12;11;7;6;10;3;192;96;15;15;10;10;3;4;5;9;3;5;2;15;0;233;41;22;23;4;29;22;10;24;19;7;8;13;2;9;239;155;84;;;80;36;12;2;9;1;0;3;2;2;2;1;6;2;2;56;56;;31;10;8;5;5;0;0;0;3;57;38;7;7;5;;;;;18;14;2;2;;;69;69;;25;25;
54;Potsdam, Stadt;5402;1205400000009014;BRIEFWAHLBEZIRK;Potsdam Briefwahlbezirk 9014;9014;;;N;0;0;0;0;522;0;522;0;0;0;1556;347;153;39;54;21;3;14;9;7;11;12;13;3;1;7;283;75;49;35;27;4;18;15;2;8;3;10;23;11;3;152;44;24;6;23;9;18;11;1;10;5;1;;;;287;75;13;19;33;56;22;6;5;11;19;12;5;3;8;131;47;10;8;16;1;3;10;1;14;8;2;1;4;6;97;72;25;;;93;20;22;5;6;1;2;7;1;15;0;3;3;0;8;44;44;;42;22;7;4;7;2;;;;22;11;2;0;9;;;;;58;13;15;8;22;;;;;;;
54;Potsdam, Stadt;5401;1205400000004401;STIMMBEZIRK;Hauptbahnhof und Brauhausberg Nord 01;4401;;;N;923;662;261;0;308;308;0;0;0;5;901;178;50;39;7;5;10;6;12;1;21;6;7;4;4;6;131;21;18;11;15;13;6;5;5;1;4;1;22;9;0;108;35;16;10;3;4;12;7;6;1;4;2;4;2;2;118;38;5;3;10;12;8;5;2;9;3;6;9;6;2;80;22;6;6;5;11;4;1;1;9;2;2;5;1;5;145;82;63;;;28;7;5;0;4;0;0;1;1;2;3;1;1;0;3;18;18;;20;6;5;3;1;1;1;0;3;28;16;1;7;4;;;;;15;12;1;2;;;25;25;;7;7;
54;Potsdam, Stadt;5402;1205400000009016;BRIEFWAHLBEZIRK;Potsdam Briefwahlbezirk 9016;9016;;;N;0;0;0;0;602;0;602;0;0;1;1770;426;187;51;63;27;7;11;15;15;4;6;25;1;2;12;310;81;59;43;34;1;13;17;0;13;3;16;17;10;3;124;49;17;2;13;18;8;8;4;3;2;0;;;;357;61;24;33;73;40;26;18;11;4;25;11;22;2;7;145;38;13;8;20;4;6;7;2;16;14;3;1;4;9;140;110;30;;;111;33;14;2;6;4;3;22;4;2;0;1;13;0;7;34;34;;52;25;14;1;5;7;;;;40;18;8;6;8;;;;;31;15;9;2;5;;;;;;;
54;Potsdam, Stadt;5401;1205400000004403;STIMMBEZIRK;Hauptbahnhof und Brauhausberg Nord 03;4403;;;N;1127;784;343;0;544;538;6;6;0;9;1603;221;88;34;11;14;10;10;11;2;4;0;12;3;5;17;256;72;41;35;13;21;11;9;4;6;17;7;15;3;2;114;25;10;14;10;9;7;5;4;1;6;9;7;7;0;173;67;18;7;15;10;5;1;3;10;5;8;6;16;2;429;62;38;29;8;60;27;9;29;71;17;6;34;20;19;123;67;56;;;33;12;3;1;6;2;3;4;0;0;2;0;0;0;0;54;54;;42;12;11;5;4;1;2;4;3;48;27;5;11;5;;;;;21;16;3;2;;;67;67;;22;22;
54;Potsdam, Stadt;5402;1205400000009017;BRIEFWAHLBEZIRK;Potsdam Briefwahlbezirk 9017;9017;;;N;0;0;0;0;591;0;591;0;0;3;1678;429;187;56;49;31;3;15;9;14;9;9;34;2;1;10;323;62;65;42;37;5;12;18;10;10;1;20;17;22;2;184;56;28;8;19;21;13;24;2;7;5;1;;;;238;65;21;10;24;43;20;9;6;5;19;2;8;3;3;216;52;15;18;33;7;10;10;3;17;26;2;2;14;7;96;77;19;;;68;26;7;7;0;1;3;7;2;4;0;0;6;0;5;13;13;;62;39;6;6;4;7;;;;25;3;9;3;10;;;;;24;3;9;8;4;;;;;;;
54;Potsdam, Stadt;5401;1205400000008601;STIMMBEZIRK;Groß Glienicke 01;8601;;;N;794;622;172;0;380;378;2;2;0;11;1098;167;69;31;10;6;2;2;6;5;1;22;6;0;5;2;149;58;14;16;5;8;14;8;2;4;8;2;6;3;1;41;13;5;4;2;1;1;2;4;3;3;0;1;0;2;264;82;22;28;31;45;5;0;7;14;7;4;2;17;0;39;8;3;0;0;5;4;0;0;8;1;3;1;5;1;178;104;74;;;105;29;12;10;12;8;0;8;1;1;4;14;4;1;1;19;19;;83;45;14;1;7;7;1;2;6;21;10;2;4;5;;;;;8;8;0;0;;;19;19;;5;5;
54;Potsdam, Stadt;5402;1205400000009019;BRIEFWAHLBEZIRK;Potsdam Briefwahlbezirk 9019;9019;;;N;0;0;0;0;696;0;696;0;0;3;2070;449;170;61;47;42;8;25;7;9;10;4;35;10;5;16;520;164;69;70;42;26;24;34;3;13;2;28;21;16;8;110;41;16;9;9;17;10;2;1;3;2;0;;;;372;96;17;19;19;46;45;18;20;18;31;7;20;6;10;234;50;22;26;27;4;5;27;1;23;21;0;4;13;11;106;93;13;;;128;31;29;8;8;2;2;15;2;8;0;1;7;4;11;25;25;;54;32;11;2;8;1;;;;54;17;16;7;14;;;;;18;4;0;7;7;;;;;;;
54;Potsdam, Stadt;5401;1205400000008603;STIMMBEZIRK;Groß Glienicke 03;8603;;;N;882;666;216;0;458;452;6;6;0;10;1328;267;83;54;13;6;6;9;10;2;8;41;9;1;3;22;168;55;21;15;5;9;6;4;5;3;14;1;16;9;5;79;37;3;4;2;5;4;5;5;1;1;1;2;5;4;340;87;12;76;29;76;2;8;13;7;6;4;2;16;2;28;11;4;1;0;2;2;1;2;3;0;1;0;0;1;178;112;66;;;98;42;17;1;12;2;3;6;2;1;1;3;3;2;3;24;24;;78;40;9;8;5;3;5;3;5;17;11;4;1;1;;;;;13;10;1;2;;;28;28;;10;10;
54;Potsdam, Stadt;5402;1205400000009022;BRIEFWAHLBEZIRK;Potsdam Briefwahlbezirk 9022;9022;;;N;0;0;0;0;432;0;432;0;0;2;1290;247;121;14;40;7;8;13;1;11;5;3;15;3;3;3;108;23;13;8;8;0;5;25;2;1;0;2;13;7;1;148;84;8;3;10;5;21;7;2;2;2;4;;;;214;42;20;11;6;39;15;17;11;6;20;8;5;9;5;107;16;13;7;19;6;6;6;0;9;5;2;0;13;5;233;102;131;;;74;26;16;3;0;1;1;4;3;5;0;3;7;0;5;31;31;;63;31;7;10;4;11;;;;35;8;11;6;10;;;;;30;7;6;8;9;;;;;;;
54;Potsdam, Stadt;5401;1205400000009001;BRIEFWAHLBEZIRK;Potsdam Briefwahlbezirk 9001;9001;;;N;0;0;0;0;635;0;635;0;0;4;1890;294;126;62;13;11;9;12;13;5;8;3;5;4;17;6;365;132;67;38;15;16;8;25;3;5;18;3;25;10;0;130;40;12;12;7;8;7;11;6;4;2;4;7;6;4;384;185;32;15;21;17;8;5;49;16;3;13;4;14;2;229;39;22;27;4;21;42;2;21;15;9;6;3;2;16;96;67;29;;;155;62;32;11;22;4;1;8;5;3;2;3;0;2;0;30;30;;46;19;6;7;5;1;0;6;2;65;35;7;6;17;;;;;29;25;4;0;;;54;54;;13;13;
54;Potsdam, Stadt;5402;1205400000009023;BRIEFWAHLBEZIRK;Potsdam Briefwahlbezirk 9023;9023;;;N;0;0;0;0;310;0;310;0;0;3;918;158;68;8;35;6;0;3;5;7;12;9;4;0;0;1;94;26;17;13;1;1;10;3;1;4;1;4;5;5;3;39;16;2;5;5;2;7;1;0;1;0;0;;;;198;45;21;18;3;39;21;14;5;11;9;2;2;3;5;55;20;3;3;11;0;1;0;2;4;3;0;0;8;0;89;67;22;;;40;10;2;3;0;0;0;6;2;8;0;3;3;0;3;25;25;;136;99;5;4;24;4;;;;67;30;22;1;14;;;;;17;4;6;3;4;;;;;;;
54;Potsdam, Stadt;5401;1205400000009005;BRIEFWAHLBEZIRK;Potsdam Briefwahlbezirk 9005;9005;;;N;0;0;0;0;580;0;580;0;0;9;1713;234;91;34;7;15;10;4;16;8;9;2;7;3;18;10;399;138;46;42;20;26;4;25;5;11;15;3;47;13;4;198;54;29;21;12;11;20;7;7;14;10;4;6;2;1;205;98;24;3;7;11;9;3;4;14;3;2;8;11;8;287;52;21;15;5;48;20;5;24;27;30;2;14;3;21;70;40;30;;;79;38;17;1;5;0;0;7;2;2;3;1;3;0;0;28;28;;43;11;8;4;4;2;2;2;10;65;21;9;9;26;;;;;14;14;0;0;;;66;66;;25;25;
54;Potsdam, Stadt;5403;1205400000001702;STIMMBEZIRK;Golm 02;1702;;;N;1085;839;246;0;556;556;0;0;0;7;1646;268;67;90;24;0;14;12;10;8;4;14;1;7;10;7;169;26;33;10;15;20;1;22;1;11;2;9;2;10;7;107;26;20;7;6;4;3;5;12;5;2;2;3;12;;379;175;19;10;28;11;47;3;6;61;1;6;6;6;;128;28;12;13;2;10;10;9;6;5;5;13;5;7;3;278;195;83;;;48;8;17;4;3;2;1;4;0;1;3;1;1;2;1;54;28;26;73;66;2;5;;;;;;66;30;22;6;4;4;;;;18;10;4;4;;;58;31;27;;;
54;Potsdam, Stadt;5401;1205400000009006;BRIEFWAHLBEZIRK;Potsdam Briefwahlbezirk 9006;9006;;;N;0;0;0;0;521;0;521;0;0;2;1554;254;88;51;5;28;8;12;12;1;10;9;10;2;12;6;319;96;42;34;15;13;10;11;3;12;25;4;37;15;2;152;49;13;7;8;13;22;8;5;6;6;4;3;5;3;196;89;30;7;11;12;14;5;2;9;3;0;2;10;2;217;41;20;19;3;32;19;6;22;14;7;3;15;4;12;117;77;40;;;82;36;15;3;9;0;0;3;2;7;3;1;1;2;0;49;49;;25;7;4;2;2;3;1;6;0;53;23;10;9;11;;;;;28;20;3;5;;;55;55;;7;7;
54;Potsdam, Stadt;5403;1205400000001703;STIMMBEZIRK;Golm 03;1703;;;N;825;621;204;0;444;439;5;5;0;7;1309;243;46;101;29;2;12;5;16;2;0;9;0;7;9;5;279;66;58;15;22;10;14;31;5;13;12;12;3;16;2;109;22;36;4;8;11;0;5;3;1;10;2;1;6;;219;101;16;8;31;5;6;24;3;11;2;3;4;5;;86;25;8;6;7;2;14;4;4;5;1;1;5;2;2;141;98;43;;;45;10;13;2;2;7;2;0;0;5;0;0;2;1;1;33;25;8;43;26;9;8;;;;;;56;27;11;3;6;9;;;;17;7;4;6;;;38;26;12;;;
54;Potsdam, Stadt;5401;1205400000009010;BRIEFWAHLBEZIRK;Potsdam Briefwahlbezirk 9010;9010;;;N;0;0;0;0;305;0;305;0;0;1;911;111;46;17;5;5;9;4;8;2;0;2;2;0;4;7;187;49;20;28;7;8;1;9;1;6;19;0;28;10;1;75;21;7;2;10;3;9;8;1;1;1;2;1;8;1;108;35;7;9;13;4;3;0;3;8;3;2;2;16;3;234;26;18;15;6;34;30;7;11;35;14;0;17;10;11;26;15;11;;;45;16;12;0;2;0;0;6;2;0;3;1;2;1;0;11;11;;2;2;0;0;0;0;0;0;0;47;24;15;1;7;;;;;3;2;0;1;;;57;57;;5;5;
54;Potsdam, Stadt;5403;1205400000003102;STIMMBEZIRK;Brandenburger Vorstadt 02;3102;;;N;978;702;276;0;505;495;10;10;0;14;1471;198;44;50;37;8;7;8;6;1;1;5;2;3;21;5;315;72;66;24;22;23;9;26;7;22;7;12;9;13;3;162;32;76;4;15;10;0;0;3;10;3;1;5;3;;196;102;23;9;7;11;7;5;8;3;3;4;3;11;;274;76;23;38;19;17;19;9;35;7;5;11;7;2;6;124;84;40;;;53;20;8;5;1;5;1;2;1;4;4;1;1;0;0;35;24;11;14;7;2;5;;;;;;28;11;7;6;2;2;;;;12;5;1;6;;;60;35;25;;;
54;Potsdam, Stadt;5402;1205400000001301;STIMMBEZIRK;Nedlitz  Bornstedt 01;1301;;;N;1227;889;338;0;642;638;4;4;0;7;1904;349;154;59;53;19;9;16;2;8;2;3;13;2;2;7;399;112;96;58;23;6;15;19;6;13;0;8;18;15;10;179;65;31;10;25;15;14;2;3;3;6;5;;;;314;81;43;21;10;34;25;11;7;17;27;10;16;3;9;160;34;20;19;17;1;6;12;3;7;12;5;3;9;12;194;137;57;;;111;36;20;16;4;1;1;12;0;7;0;0;7;0;7;60;60;;55;32;5;8;6;4;;;;41;26;7;2;6;;;;;42;10;22;8;2;;;;;;;
54;Potsdam, Stadt;5403;1205400000003103;STIMMBEZIRK;Brandenburger Vorstadt 03;3103;;;N;1223;858;365;0;648;642;6;6;0;8;1919;287;90;74;29;5;9;28;8;6;8;7;4;4;12;3;425;90;105;21;51;30;14;31;7;14;12;16;9;18;7;200;48;88;3;11;9;1;6;3;10;3;3;6;9;;193;94;23;2;13;16;6;2;9;2;2;7;4;13;;421;74;37;41;32;19;52;29;52;22;7;20;12;14;10;87;52;35;;;80;24;14;8;4;7;3;7;0;1;5;0;2;1;4;70;54;16;14;10;1;3;;;;;;50;27;12;6;4;1;;;;8;5;2;1;;;84;59;25;;;
54;Potsdam, Stadt;5402;1205400000001303;STIMMBEZIRK;Bornstedt 03;1303;;;N;1213;843;370;0;604;602;2;2;0;8;1781;339;162;40;36;14;1;11;6;38;2;1;15;4;1;8;286;104;43;28;17;4;14;9;2;14;4;11;10;14;12;112;35;19;8;14;7;9;2;1;9;7;1;;;;412;119;45;24;21;55;31;25;14;12;28;4;18;5;11;143;47;9;16;7;7;3;5;6;9;15;2;2;7;8;216;172;44;;;97;27;14;12;6;4;2;18;2;2;0;1;3;1;5;35;35;;68;35;19;5;7;2;;;;34;11;17;3;3;;;;;39;7;6;12;14;;;;;;;
