Gemeinde;Gemeindename;Wahlkreisnummer;Gebietsnummer;Gebietsart;Gebietsname;Bezirksnummer;Wahlberechtigte gesamt (A);Wahlberechtigte ohne Wahlschein (A1);Wahlberechtigte mit Wahlschein (A2);Wahlberechtigte nicht im WVZ (A3);Waehler gesamt (B);Waehler ohne Wahlschein;Waehler mit Wahlschein;Urnenwaehler mit Wahlschein in Urnenwahllokal;Briefwaehler mit Wahlschein in Urnenwahllokal;Direktstimmen ungueltige (C);Direktstimmen gueltige (D);D1;D2;D3;D4;D5;D6;D8;D9;D11;D12;D14;D15;D19;D20;D21;D22;D23;Listenstimmen ungueltige (E);Listenstimmen gueltige (F);F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;Column 57
120690454454;Nuthetal;61;1206904544540005;STIMMBEZIRK;Nuthetal OT Saarmund, Schule Bibliothek;5;801;607;194;0;497;497;0;0;0;7;490;76;84;168;28;43;59;7;10;3;3;4;1;2;1;0;0;1;9;488;70;86;136;32;57;54;26;6;6;0;1;3;0;7;0;2;0;0;2;
120690454454;Nuthetal;61;1206904544540007;STIMMBEZIRK;Nuthetal OT Philippsthal, Gemeindezentrum;7;151;114;37;0;101;101;0;0;0;0;101;20;18;31;8;12;8;1;1;0;0;2;0;0;0;0;0;0;1;100;20;16;30;7;16;8;1;0;0;0;0;0;0;1;0;0;0;1;0;
120690454454;Nuthetal;61;1206904544540008;STIMMBEZIRK;Nuthetal OT Nudow, Gemeindezentrum;8;344;250;94;0;205;205;0;0;0;2;203;36;28;77;12;13;20;6;7;0;1;2;1;0;0;0;0;0;2;203;41;26;59;17;18;16;8;6;6;1;0;0;1;4;0;0;0;0;0;
120690454454;Nuthetal;61;1206904544540009;STIMMBEZIRK;Nuthetal OT Fahlhorst, Gemeindezentrum;9;165;132;33;0;105;105;0;0;0;1;104;17;28;34;3;12;6;1;0;0;0;3;0;0;0;0;0;0;1;104;17;32;25;5;14;6;1;0;1;0;0;0;0;2;0;1;0;0;0;
120690590590;Schwielowsee;61;1206905905901202;STIMMBEZIRK;Schwielowsee, OT Caputh, Mehrzweckraum;1202;1434;915;519;0;702;701;1;1;0;9;693;102;78;241;57;59;115;9;14;0;4;8;3;3;0;0;0;0;9;693;93;84;211;60;77;115;10;7;11;3;0;3;0;6;3;2;1;5;2;
120690590590;Schwielowsee;61;1206905905901205;STIMMBEZIRK;Schwielowsee, OT Ferch, Sportlerheim;1205;756;561;195;0;469;469;0;0;0;6;463;84;78;148;29;36;52;8;12;1;0;9;0;2;0;1;0;3;4;465;73;84;122;32;48;53;13;6;13;0;0;0;0;13;0;4;0;2;2;
120690590590;Schwielowsee;61;1206905905901207;STIMMBEZIRK;Schwielowsee, OT Geltow II, Grundschule;1207;1355;864;491;0;660;660;0;0;0;10;650;121;79;223;48;58;73;7;19;1;1;12;3;1;1;1;0;2;10;650;115;87;183;63;70;79;12;5;14;0;0;2;0;15;2;2;0;1;0;
120690590590;Schwielowsee;61;1206905905901208;STIMMBEZIRK;Schwielowsee, OT Geltow, Bürgerclub;1208;655;410;245;0;359;356;3;3;0;1;358;73;31;94;34;48;55;4;6;2;2;7;0;1;1;0;0;0;2;357;67;39;78;36;50;55;6;5;8;0;2;1;0;7;0;2;0;0;1;
120690604604;Stahnsdorf;61;120690604604;GEMEINDE;Stahnsdorf;;12324;7532;4792;0;10415;5810;4605;13;0;91;10324;1960;1071;3390;465;1119;1570;201;218;11;26;173;21;37;26;18;3;15;83;10332;1871;1162;2670;641;1368;1723;217;130;191;20;9;18;1;180;14;25;24;32;36;
120690604604;Stahnsdorf;61;1206906046040005;STIMMBEZIRK;Stahnsdorf, FFW Stahnsdorf;5;734;417;317;0;351;344;7;7;0;2;349;70;27;101;14;40;78;5;3;0;0;9;0;1;1;0;0;0;4;347;58;29;76;20;60;78;8;2;2;0;0;0;0;10;1;1;0;1;1;
120690604604;Stahnsdorf;61;1206906046040008;STIMMBEZIRK;Stahnsdorf, Kita Mäuseburg;8;753;514;239;0;360;360;0;0;0;4;356;69;68;93;12;41;51;8;9;0;0;2;0;1;0;2;0;0;4;356;57;64;72;24;49;59;11;4;7;0;0;0;0;5;0;2;1;0;1;
120690604604;Stahnsdorf;61;1206906046040009;STIMMBEZIRK;Stahnsdorf, Kita Im Regenbogenland;9;904;515;389;0;440;440;0;0;0;4;436;96;33;122;20;47;84;10;8;0;0;8;2;2;2;2;0;0;5;435;89;37;100;33;66;72;10;10;7;0;0;1;0;4;0;2;1;0;3;
120690604604;Stahnsdorf;61;1206906046040011;STIMMBEZIRK;Stahnsdorf, Grundschule Heinrich Zille (Horthalle);11;993;591;402;0;473;473;0;0;0;2;471;78;70;156;20;54;76;3;6;0;2;3;1;2;0;0;0;0;2;471;67;77;133;27;61;79;4;4;7;1;0;1;0;7;0;2;0;0;1;
120690604604;Stahnsdorf;61;1206906046040014;STIMMBEZIRK;Stahnsdorf, FFW Schenkenhorst / Sputendorf;14;911;626;285;0;479;479;0;0;0;9;470;65;95;166;23;37;48;12;4;0;0;10;3;1;1;1;1;3;8;471;66;102;120;22;49;52;21;7;4;4;0;0;1;13;2;1;3;2;2;
120690604604;Stahnsdorf;61;1206906046049022;BRIEFWAHLBEZIRK;Stahnsdorf, Briefwahllokal 9022;9022;0;0;0;0;409;0;409;0;0;1;408;86;29;141;17;26;63;21;9;1;0;5;4;1;2;0;0;3;1;408;81;32;106;29;35;75;7;14;16;2;1;0;0;4;4;0;0;1;1;
120690604604;Stahnsdorf;61;1206906046049023;BRIEFWAHLBEZIRK;Stahnsdorf, Briefwahllokal 9023;9023;0;0;0;0;683;0;683;0;0;3;680;133;30;218;34;93;124;13;14;2;2;8;0;4;4;0;0;1;2;681;122;38;169;41;109;139;13;12;12;1;2;2;0;9;0;2;1;1;8;
120690604604;Stahnsdorf;61;1206906046049025;BRIEFWAHLBEZIRK;Stahnsdorf, Briefwahllokal 9025;9025;0;0;0;0;491;0;491;0;0;4;487;77;46;180;33;44;65;5;18;0;0;10;1;1;3;2;1;1;4;487;82;47;135;36;53;75;16;8;13;1;0;1;0;12;1;3;0;2;2;
120690616616;Teltow, Stadt;61;1206906166160007;STIMMBEZIRK;Teltow, Hort GS Ernst-v.-Stubenrauch;7;1039;770;269;0;515;514;1;1;0;12;503;69;70;223;31;37;33;10;14;1;2;9;0;0;0;3;0;1;13;502;73;60;179;43;43;41;19;6;13;3;0;1;1;10;0;4;2;1;3;
120690616616;Teltow, Stadt;61;1206906166160008;STIMMBEZIRK;Teltow, Kita Teltow Kids;8;1871;1361;510;0;862;859;3;3;0;19;843;113;129;331;53;51;99;20;18;2;5;14;2;2;2;2;0;0;20;842;116;134;274;62;67;99;23;17;10;4;1;3;0;13;0;8;5;3;3;
120690616616;Teltow, Stadt;61;1206906166160009;STIMMBEZIRK;Teltow, Hort Mühlendorf;9;1182;734;448;0;549;545;4;4;0;6;543;103;58;170;16;70;87;6;9;0;2;15;3;4;0;0;0;0;5;544;97;53;131;18;90;93;12;7;8;3;0;2;0;14;2;2;4;4;4;
120690616616;Teltow, Stadt;61;1206906166160010;STIMMBEZIRK;Teltow, Grundschule Anne Frank I;10;1245;713;532;0;579;573;6;6;0;5;574;111;65;162;17;55;126;13;12;11;2;0;0;0;0;0;0;0;3;576;107;67;123;21;75;124;14;12;11;2;0;0;0;7;0;2;3;5;3;
120690616616;Teltow, Stadt;61;1206906166160012;STIMMBEZIRK;Teltow, Seniorenzentrum Bethesda;12;1364;953;411;0;638;635;3;3;0;13;625;96;83;247;29;51;76;17;5;1;1;10;1;4;2;1;0;1;12;626;97;87;200;49;57;81;17;12;7;1;0;1;0;9;0;1;0;2;5;
